State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2018,1,744101,1622,1622
andaman-&-nicobar-islands,2018,1,744103,1223,1223
andaman-&-nicobar-islands,2018,1,744102,969,969
andaman-&-nicobar-islands,2018,1,744105,685,685
andaman-&-nicobar-islands,2018,1,744104,340,340
andaman-&-nicobar-islands,2018,1,744107,302,302
andaman-&-nicobar-islands,2018,1,744301,283,283
andaman-&-nicobar-islands,2018,1,744112,269,269
andaman-&-nicobar-islands,2018,1,744202,193,193
andaman-&-nicobar-islands,2018,1,744302,168,168
andaman-&-nicobar-islands,2018,2,744101,2701,2701
andaman-&-nicobar-islands,2018,2,744103,1965,1965
andaman-&-nicobar-islands,2018,2,744102,1525,1525
andaman-&-nicobar-islands,2018,2,744105,997,997
andaman-&-nicobar-islands,2018,2,744301,767,767
andaman-&-nicobar-islands,2018,2,744104,659,659
andaman-&-nicobar-islands,2018,2,744107,594,594
andaman-&-nicobar-islands,2018,2,744112,432,432
andaman-&-nicobar-islands,2018,2,744202,405,405
andaman-&-nicobar-islands,2018,2,744302,291,291
andaman-&-nicobar-islands,2018,3,744101,3462,3462
andaman-&-nicobar-islands,2018,3,744103,3182,3182
andaman-&-nicobar-islands,2018,3,744102,2224,2224
andaman-&-nicobar-islands,2018,3,744105,1613,1613
andaman-&-nicobar-islands,2018,3,744104,1029,1029
andaman-&-nicobar-islands,2018,3,744301,975,975
andaman-&-nicobar-islands,2018,3,744112,579,579
andaman-&-nicobar-islands,2018,3,744107,547,547
andaman-&-nicobar-islands,2018,3,744302,417,417
andaman-&-nicobar-islands,2018,3,744202,341,341
andaman-&-nicobar-islands,2018,4,744101,4674,4674
andaman-&-nicobar-islands,2018,4,744103,4576,4576
andaman-&-nicobar-islands,2018,4,744102,3306,3306
andaman-&-nicobar-islands,2018,4,744105,2513,2513
andaman-&-nicobar-islands,2018,4,744104,1432,1432
andaman-&-nicobar-islands,2018,4,744211,1225,1225
andaman-&-nicobar-islands,2018,4,744301,928,928
andaman-&-nicobar-islands,2018,4,744112,759,759
andaman-&-nicobar-islands,2018,4,744107,747,747
andaman-&-nicobar-islands,2018,4,744202,702,702
andaman-&-nicobar-islands,2019,1,744103,5742,5742
andaman-&-nicobar-islands,2019,1,744101,5156,5156
andaman-&-nicobar-islands,2019,1,744102,3925,3925
andaman-&-nicobar-islands,2019,1,744105,3553,3553
andaman-&-nicobar-islands,2019,1,744104,2833,2833
andaman-&-nicobar-islands,2019,1,744211,1511,1511
andaman-&-nicobar-islands,2019,1,744202,1112,1112
andaman-&-nicobar-islands,2019,1,744107,1029,1029
andaman-&-nicobar-islands,2019,1,744301,920,920
andaman-&-nicobar-islands,2019,1,744112,802,802
andaman-&-nicobar-islands,2019,2,744104,6142,6142
andaman-&-nicobar-islands,2019,2,744103,5847,5847
andaman-&-nicobar-islands,2019,2,744101,4863,4863
andaman-&-nicobar-islands,2019,2,744102,4120,4120
andaman-&-nicobar-islands,2019,2,744105,3500,3500
andaman-&-nicobar-islands,2019,2,744202,1153,1153
andaman-&-nicobar-islands,2019,2,744107,1124,1124
andaman-&-nicobar-islands,2019,2,744211,1047,1047
andaman-&-nicobar-islands,2019,2,744301,1007,1007
andaman-&-nicobar-islands,2019,2,744112,763,763
andaman-&-nicobar-islands,2019,3,744103,5680,5680
andaman-&-nicobar-islands,2019,3,744101,5606,5606
andaman-&-nicobar-islands,2019,3,744104,4786,4786
andaman-&-nicobar-islands,2019,3,744102,3643,3643
andaman-&-nicobar-islands,2019,3,744105,3512,3512
andaman-&-nicobar-islands,2019,3,744202,1417,1417
andaman-&-nicobar-islands,2019,3,744301,1402,1402
andaman-&-nicobar-islands,2019,3,744211,1118,1118
andaman-&-nicobar-islands,2019,3,744107,914,914
andaman-&-nicobar-islands,2019,3,744112,833,833
andaman-&-nicobar-islands,2019,4,744104,6633,6633
andaman-&-nicobar-islands,2019,4,744101,5282,5282
andaman-&-nicobar-islands,2019,4,744103,4840,4840
andaman-&-nicobar-islands,2019,4,744105,3528,3528
andaman-&-nicobar-islands,2019,4,744102,3237,3237
andaman-&-nicobar-islands,2019,4,744202,1783,1783
andaman-&-nicobar-islands,2019,4,744211,1596,1596
andaman-&-nicobar-islands,2019,4,744301,1549,1549
andaman-&-nicobar-islands,2019,4,744201,886,886
andaman-&-nicobar-islands,2019,4,744107,777,777
andaman-&-nicobar-islands,2020,1,744101,11793,11793
andaman-&-nicobar-islands,2020,1,744103,5870,5870
andaman-&-nicobar-islands,2020,1,744105,4635,4635
andaman-&-nicobar-islands,2020,1,744102,3820,3820
andaman-&-nicobar-islands,2020,1,744211,1837,1837
andaman-&-nicobar-islands,2020,1,744301,1819,1819
andaman-&-nicobar-islands,2020,1,744202,1794,1794
andaman-&-nicobar-islands,2020,1,744104,1302,1302
andaman-&-nicobar-islands,2020,1,744201,1157,1157
andaman-&-nicobar-islands,2020,1,744107,1043,1043
andaman-&-nicobar-islands,2020,2,744101,11868,11868
andaman-&-nicobar-islands,2020,2,744103,10035,10035
andaman-&-nicobar-islands,2020,2,744105,9341,9341
andaman-&-nicobar-islands,2020,2,744102,6012,6012
andaman-&-nicobar-islands,2020,2,744202,3722,3722
andaman-&-nicobar-islands,2020,2,744107,2555,2555
andaman-&-nicobar-islands,2020,2,744301,2275,2275
andaman-&-nicobar-islands,2020,2,744211,2045,2045
andaman-&-nicobar-islands,2020,2,744205,1847,1847
andaman-&-nicobar-islands,2020,2,744104,1840,1840
andaman-&-nicobar-islands,2020,3,744101,24386,24386
andaman-&-nicobar-islands,2020,3,744103,21272,21272
andaman-&-nicobar-islands,2020,3,744105,17166,17166
andaman-&-nicobar-islands,2020,3,744102,13934,13934
andaman-&-nicobar-islands,2020,3,744202,5779,5779
andaman-&-nicobar-islands,2020,3,744107,4753,4753
andaman-&-nicobar-islands,2020,3,744104,3468,3468
andaman-&-nicobar-islands,2020,3,744112,3422,3422
andaman-&-nicobar-islands,2020,3,744301,3071,3071
andaman-&-nicobar-islands,2020,3,744205,2991,2991
andaman-&-nicobar-islands,2020,4,744103,46884,46884
andaman-&-nicobar-islands,2020,4,744101,40392,40392
andaman-&-nicobar-islands,2020,4,744105,34410,34410
andaman-&-nicobar-islands,2020,4,744102,26694,26694
andaman-&-nicobar-islands,2020,4,744202,10949,10949
andaman-&-nicobar-islands,2020,4,744107,9743,9743
andaman-&-nicobar-islands,2020,4,744104,7654,7654
andaman-&-nicobar-islands,2020,4,744112,7016,7016
andaman-&-nicobar-islands,2020,4,744205,5118,5118
andaman-&-nicobar-islands,2020,4,744201,5011,5011
andaman-&-nicobar-islands,2021,1,744101,55726,55726
andaman-&-nicobar-islands,2021,1,744103,47328,47328
andaman-&-nicobar-islands,2021,1,744105,35467,35467
andaman-&-nicobar-islands,2021,1,744102,23957,23957
andaman-&-nicobar-islands,2021,1,744211,10648,10648
andaman-&-nicobar-islands,2021,1,744202,10597,10597
andaman-&-nicobar-islands,2021,1,744107,8848,8848
andaman-&-nicobar-islands,2021,1,744104,8799,8799
andaman-&-nicobar-islands,2021,1,744112,7113,7113
andaman-&-nicobar-islands,2021,1,744301,5630,5630
andaman-&-nicobar-islands,2021,2,744101,73334,73334
andaman-&-nicobar-islands,2021,2,744103,66321,66321
andaman-&-nicobar-islands,2021,2,744105,52645,52645
andaman-&-nicobar-islands,2021,2,744102,34289,34289
andaman-&-nicobar-islands,2021,2,744202,16476,16476
andaman-&-nicobar-islands,2021,2,744107,14524,14524
andaman-&-nicobar-islands,2021,2,744104,11278,11278
andaman-&-nicobar-islands,2021,2,744211,10182,10182
andaman-&-nicobar-islands,2021,2,744112,9635,9635
andaman-&-nicobar-islands,2021,2,744301,8463,8463
andaman-&-nicobar-islands,2021,3,744101,116324,116324
andaman-&-nicobar-islands,2021,3,744103,84790,84790
andaman-&-nicobar-islands,2021,3,744105,67257,67257
andaman-&-nicobar-islands,2021,3,744102,43850,43850
andaman-&-nicobar-islands,2021,3,744202,19088,19088
andaman-&-nicobar-islands,2021,3,744107,16203,16203
andaman-&-nicobar-islands,2021,3,744104,14657,14657
andaman-&-nicobar-islands,2021,3,744112,11565,11565
andaman-&-nicobar-islands,2021,3,744301,11553,11553
andaman-&-nicobar-islands,2021,3,744211,9655,9655
andaman-&-nicobar-islands,2021,4,744101,165719,165719
andaman-&-nicobar-islands,2021,4,744103,121613,121613
andaman-&-nicobar-islands,2021,4,744105,95028,95028
andaman-&-nicobar-islands,2021,4,744102,58258,58258
andaman-&-nicobar-islands,2021,4,744211,27938,27938
andaman-&-nicobar-islands,2021,4,744104,25662,25662
andaman-&-nicobar-islands,2021,4,744202,21913,21913
andaman-&-nicobar-islands,2021,4,744107,21397,21397
andaman-&-nicobar-islands,2021,4,744112,18915,18915
andaman-&-nicobar-islands,2021,4,744301,14553,14553
andaman-&-nicobar-islands,2022,1,744101,209941,209941
andaman-&-nicobar-islands,2022,1,744103,157230,157230
andaman-&-nicobar-islands,2022,1,744105,122716,122716
andaman-&-nicobar-islands,2022,1,744102,74883,74883
andaman-&-nicobar-islands,2022,1,744104,32471,32471
andaman-&-nicobar-islands,2022,1,744211,30272,30272
andaman-&-nicobar-islands,2022,1,744107,25379,25379
andaman-&-nicobar-islands,2022,1,744202,24022,24022
andaman-&-nicobar-islands,2022,1,744112,23471,23471
andaman-&-nicobar-islands,2022,1,744301,17630,17630
andaman-&-nicobar-islands,2022,2,744101,252722,252722
andaman-&-nicobar-islands,2022,2,744103,230746,230746
andaman-&-nicobar-islands,2022,2,744105,176252,176252
andaman-&-nicobar-islands,2022,2,744102,101551,101551
andaman-&-nicobar-islands,2022,2,744104,47069,47069
andaman-&-nicobar-islands,2022,2,744211,40245,40245
andaman-&-nicobar-islands,2022,2,744107,36402,36402
andaman-&-nicobar-islands,2022,2,744112,32548,32548
andaman-&-nicobar-islands,2022,2,744202,27750,27750
andaman-&-nicobar-islands,2022,2,744301,26170,26170
andaman-&-nicobar-islands,2022,3,744104,497273,497273
andaman-&-nicobar-islands,2022,3,744103,259994,259994
andaman-&-nicobar-islands,2022,3,744101,213864,213864
andaman-&-nicobar-islands,2022,3,744105,208055,208055
andaman-&-nicobar-islands,2022,3,744102,114416,114416
andaman-&-nicobar-islands,2022,3,744107,40466,40466
andaman-&-nicobar-islands,2022,3,744112,38350,38350
andaman-&-nicobar-islands,2022,3,744211,37918,37918
andaman-&-nicobar-islands,2022,3,744202,29918,29918
andaman-&-nicobar-islands,2022,3,744301,27668,27668
andaman-&-nicobar-islands,2022,4,744104,684366,684366
andaman-&-nicobar-islands,2022,4,744103,304600,304600
andaman-&-nicobar-islands,2022,4,744105,258097,258097
andaman-&-nicobar-islands,2022,4,744101,243494,243494
andaman-&-nicobar-islands,2022,4,744102,134923,134923
andaman-&-nicobar-islands,2022,4,744211,56491,56491
andaman-&-nicobar-islands,2022,4,744107,54192,54192
andaman-&-nicobar-islands,2022,4,744112,46364,46364
